!	1.0 ! #1
!!	1.0 ! ! #1
!!!	1.0 ! ! !
"	1.0 " #1
741698	1.0 7 4 1 6 9 8
74285	1.0 7 4 2 8 5
75,	1.0 7 5 ,
75.00	1.0 7 5 . 0 0 #1
75.00SR	1.0 7 5 . 0 0 S R
75.70	1.0 7 5 . 7 0
750441-W	1.0 7 5 0 4 4 1 - W #1
750441-W)	1.0 7 5 0 4 4 1 - W )
7524	1.0 7 5 2 4
758.70	1.0 7 5 8 . 7 0
75G-	1.0 7 5 G -
75ML	1.0 7 5 M L
76	1.0 7 6 #1
76,	1.0 7 6 ,
76.00	1.0 7 6 . 0 0
760.00	1.0 7 6 0 . 0 0
7678	1.0 7 6 7 8
77.18	1.0 7 7 . 1 8
77.20	1.0 7 7 . 2 0
77.76	1.0 7 7 . 7 6
77.80	1.0 7 7 . 8 0
770G	1.0 7 7 0 G
771-2	1.0 7 7 1 - 2
7721F711	1.0 7 7 2 1 F 7 1 1
7724F717	1.0 7 7 2 4 F 7 1 7
7725F714	1.0 7 7 2 5 F 7 1 4
7726	1.0 7 7 2 6
77282288	1.0 7 7 2 8 2 2 8 8
7730F710	1.0 7 7 3 0 F 7 1 0
7732	1.0 7 7 3 2
7745055	1.0 7 7 4 5 0 5 5
77499	1.0 7 7 4 9 9
7765987	1.0 7 7 6 5 9 8 7
778	1.0 7 7 8
78.00	1.0 7 8 . 0 0
78.10	1.0 7 8 . 1 0
78.30	1.0 7 8 . 3 0
7803	1.0 7 8 0 3 #1
7803F712	1.0 7 8 0 3 F 7 1 2
7805F712	1.0 7 8 0 5 F 7 1 2
7817F712	1.0 7 8 1 7 F 7 1 2
7819F712	1.0 7 8 1 9 F 7 1 2
7825F713	1.0 7 8 2 5 F 7 1 3
78283158333	1.0 7 8 2 8 3 1 5 8 3 3 3
7828F715	1.0 7 8 2 8 F 7 1 5
7830F715	1.0 7 8 3 0 F 7 1 5
7831	1.0 7 8 3 1
7889,	1.0 7 8 8 9 ,
789417-W	1.0 7 8 9 4 1 7 - W
7897139011685960	1.0 7 8 9 7 1 3 9 0 1 1 6 8 5 9 6 0
78G,	1.0 7 8 G ,
79.35	1.0 7 9 . 3 5
79.50	1.0 7 9 . 5 0
79.60	1.0 7 9 . 6 0
7903F711	1.0 7 9 0 3 F 7 1 1
7905F713	1.0 7 9 0 5 F 7 1 3
7908F714	1.0 7 9 0 8 F 7 1 4
7911F714	1.0 7 9 1 1 F 7 1 4
7916F710	1.0 7 9 1 6 F 7 1 0
7917F711	1.0 7 9 1 7 F 7 1 1
7918F715	1.0 7 9 1 8 F 7 1 5
7925F716	1.0 7 9 2 5 F 7 1 6
7928F713	1.0 7 9 2 8 F 7 1 3
7929F714	1.0 7 9 2 9 F 7 1 4
7930F713	1.0 7 9 3 0 F 7 1 3
79369	1.0 7 9 3 6 9
7937	1.0 7 9 3 7
7941	1.0 7 9 4 1
795225-A	1.0 7 9 5 2 2 5 - A
7978	1.0 7 9 7 8
7:07:39	1.0 7 : 0 7 : 3 9
7:07PM	1.0 7 : 0 7 P M
7:13	1.0 7 : 1 3
7:19:43	1.0 7 : 1 9 : 4 3
7:31:08	1.0 7 : 3 1 : 0 8
7:36:12	1.0 7 : 3 6 : 1 2
7:41:46	1.0 7 : 4 1 : 4 6
7CC	1.0 7 C C
7DAYS	1.0 7 D A Y S
7LT	1.0 7 L T
7W	1.0 7 W
8	1.0 8 #1
8"	1.0 8 "
8'	1.0 8 '
8,	1.0 8 ,
8.00	1.0 8 . 0 0 #1
8.0000	1.0 8 . 0 0 0 0
8.02	1.0 8 . 0 2
8.04	1.0 8 . 0 4
8.10	1.0 8 . 1 0
8.11	1.0 8 . 1 1
8.12	1.0 8 . 1 2
8.19	1.0 8 . 1 9
8.20	1.0 8 . 2 0
8.21	1.0 8 . 2 1
8.29	1.0 8 . 2 9
8.34	1.0 8 . 3 4
8.38	1.0 8 . 3 8
8.40	1.0 8 . 4 0
8.48	1.0 8 . 4 8
8.49	1.0 8 . 4 9
8.50	1.0 8 . 5 0
8.52	1.0 8 . 5 2
8.59	1.0 8 . 5 9
8.60	1.0 8 . 6 0
8.68	1.0 8 . 6 8
8.70	1.0 8 . 7 0
8.77	1.0 8 . 7 7
8.78	1.0 8 . 7 8
8.80	1.0 8 . 8 0
8.83	1.0 8 . 8 3
8.90	1.0 8 . 9 0 #1
8.90SR	1.0 8 . 9 0 S R
8.91	1.0 8 . 9 1
8.95	1.0 8 . 9 5
8.96	1.0 8 . 9 6
8/27A,	1.0 8 / 2 7 A ,
8/4,	1.0 8 / 4 ,
8/64	1.0 8 / 6 4
80	1.0 8 0 #1
80.00	1.0 8 0 . 0 0
80.56	1.0 8 0 . 5 6
80.90	1.0 8 0 . 9 0
80.91	1.0 8 0 . 9 1
80148970	1.0 8 0 1 4 8 9 7 0
801817	1.0 8 0 1 8 1 7
8019	1.0 8 0 1 9
80272	1.0 8 0 2 7 2
80300	1.0 8 0 3 0 0
803216	1.0 8 0 3 2 1 6
8038	1.0 8 0 3 8
803Mz	1.0 8 0 3 M z
80757830	1.0 8 0 7 5 7 8 3 0
8079	1.0 8 0 7 9
809	1.0 8 0 9
80GSM	1.0 8 0 G S M
80PGS	1.0 8 0 P G S
80X50X18	1.0 8 0 X 5 0 X 1 8
81.80	1.0 8 1 . 8 0
8104	1.0 8 1 0 4
81100	1.0 8 1 1 0 0
8112	1.0 8 1 1 2
81200	1.0 8 1 2 0 0
81300	1.0 8 1 3 0 0
813086000911	1.0 8 1 3 0 8 6 0 0 0 9 1 1
8155	1.0 8 1 5 5
8160	1.0 8 1 6 0
81620	1.0 8 1 6 2 0
8169	1.0 8 1 6 9
81700	1.0 8 1 7 0 0
8175	1.0 8 1 7 5 #1
81750	1.0 8 1 7 5 0 #1
81750,	1.0 8 1 7 5 0 , #1
81750,JOHOR	1.0 8 1 7 5 0 , J O H O R
81750.JOHOR	1.0 8 1 7 5 0 . J O H O R
81760	1.0 8 1 7 6 0
82.50	1.0 8 2 . 5 0
82.68	1.0 8 2 . 6 8
82.80	1.0 8 2 . 8 0
820	1.0 8 2 0
822	1.0 8 2 2 #1
822737-X	1.0 8 2 2 7 3 7 - X
8239	1.0 8 2 3 9
83.00	1.0 8 3 . 0 0
83.93	1.0 8 3 . 9 3
83650	1.0 8 3 6 5 0
83679570476	1.0 8 3 6 7 9 5 7 0 4 7 6
837-HONEY	1.0 8 3 7 - H O N E Y
838-HONEY	1.0 8 3 8 - H O N E Y
84	1.0 8 4 #1
84.00	1.0 8 4 . 0 0
84.80	1.0 8 4 . 8 0
8402	1.0 8 4 0 2
84259112	1.0 8 4 2 5 9 1 1 2
8445	1.0 8 4 4 5
84600,PAGOH,JOHOR	1.0 8 4 6 0 0 , P A G O H , J O H O R
85	1.0 8 5 #1
85.00	1.0 8 5 . 0 0
85.10	1.0 8 5 . 1 0
85.20	1.0 8 5 . 2 0
85.54	1.0 8 5 . 5 4
854150	1.0 8 5 4 1 5 0
8554	1.0 8 5 5 4
8557	1.0 8 5 5 7
86	1.0 8 6 #1
86.00	1.0 8 6 . 0 0
860671-D)	1.0 8 6 0 6 7 1 - D )
860871-D)	1.0 8 6 0 8 7 1 - D )
861	1.0 8 6 1
862725-U	1.0 8 6 2 7 2 5 - U
8660	1.0 8 6 6 0
868	1.0 8 6 8
87.08	1.0 8 7 . 0 8
87.10	1.0 8 7 . 1 0
87.45	1.0 8 7 . 4 5
87.8	1.0 8 7 . 8 #1
87.80	1.0 8 7 . 8 0
8710163220987	1.0 8 7 1 0 1 6 3 2 2 0 9 8 7
8711468	1.0 8 7 1 1 4 6 8
8711469	1.0 8 7 1 1 4 6 9
8720019	1.0 8 7 2 0 0 1 9
87601	1.0 8 7 6 0 1
8777	1.0 8 7 7 7
87870	1.0 8 7 8 7 0
879	1.0 8 7 9
88	1.0 8 8 #1
88.17	1.0 8 8 . 1 7
88.95	1.0 8 8 . 9 5
88.97	1.0 8 8 . 9 7
880	1.0 8 8 0 #1
8800	1.0 8 8 0 0 #1
8800796	1.0 8 8 0 0 7 9 6
8807946	1.0 8 8 0 7 9 4 6
8807947	1.0 8 8 0 7 9 4 7
8807949	1.0 8 8 0 7 9 4 9
8809069300708	1.0 8 8 0 9 0 6 9 3 0 0 7 0 8
8832	1.0 8 8 3 2
8850199320722	1.0 8 8 5 0 1 9 9 3 2 0 7 2 2
8853815002880	1.0 8 8 5 3 8 1 5 0 0 2 8 8 0
8858	1.0 8 8 5 8
886	1.0 8 8 6 #1
8869	1.0 8 8 6 9
886A	1.0 8 8 6 A
888	1.0 8 8 8 #1
8888	1.0 8 8 8 8 #1
8888002188511	1.0 8 8 8 8 0 0 2 1 8 8 5 1 1
8888240000897	1.0 8 8 8 8 2 4 0 0 0 0 8 9 7
8888338001119	1.0 8 8 8 8 3 3 8 0 0 1 1 1 9
88888	1.0 8 8 8 8 8
8896	1.0 8 8 9 6
89	1.0 8 9 #1
89&91,	1.0 8 9 & 9 1 ,
89.00	1.0 8 9 . 0 0
89.03	1.0 8 9 . 0 3
89.50	1.0 8 9 . 5 0
8910041	1.0 8 9 1 0 0 4 1
8936	1.0 8 9 3 6
8991	1.0 8 9 9 1
8992787966728	1.0 8 9 9 2 7 8 7 9 6 6 7 2 8
8999002310564	1.0 8 9 9 9 0 0 2 3 1 0 5 6 4
89CM*117CM	1.0 8 9 C M * 1 1 7 C M
8:01:11	1.0 8 : 0 1 : 1 1
8:07	1.0 8 : 0 7
8:13	1.0 8 : 1 3 #1
8:13:39	1.0 8 : 1 3 : 3 9
8:21	1.0 8 : 2 1
8:26:57	1.0 8 : 2 6 : 5 7
8:47:34	1.0 8 : 4 7 : 3 4
8:53:27	1.0 8 : 5 3 : 2 7
8:53:37	1.0 8 : 5 3 : 3 7
8CM)KT	1.0 8 C M ) K T
8F	1.0 8 F
8P-1RT	1.0 8 P - 1 R T
8PCS	1.0 8 P C S
8ST	1.0 8 S T
9	1.0 9 #1
9"HT	1.0 9 " H T
9'*VS	1.0 9 ' * V S
9,	1.0 9 ,
9-G,	1.0 9 - G ,
9.	1.0 9 . #1
9.00	1.0 9 . 0 0 #1
9.000	1.0 9 . 0 0 0
9.07	1.0 9 . 0 7
9.10	1.0 9 . 1 0
9.20	1.0 9 . 2 0
9.21	1.0 9 . 2 1
9.30	1.0 9 . 3 0
9.31	1.0 9 . 3 1
9.34	1.0 9 . 3 4
9.36	1.0 9 . 3 6
9.40	1.0 9 . 4 0
9.43	1.0 9 . 4 3
9.45	1.0 9 . 4 5
9.50	1.0 9 . 5 0
9.54	1.0 9 . 5 4
9.55	1.0 9 . 5 5
9.57	1.0 9 . 5 7
9.60	1.0 9 . 6 0
9.62	1.0 9 . 6 2
9.65	1.0 9 . 6 5
9.72	1.0 9 . 7 2
9.76	1.0 9 . 7 6
9.80	1.0 9 . 8 0
9.81	1.0 9 . 8 1
9.85	1.0 9 . 8 5 #1
9.85SR	1.0 9 . 8 5 S R
9.90	1.0 9 . 9 0 #1
9.90SR	1.0 9 . 9 0 S R
9.91	1.0 9 . 9 1
9/1,	1.0 9 / 1 , #1
9/1,D'SARA	1.0 9 / 1 , D ' S A R A
9/2/2017	1.0 9 / 2 / 2 0 1 7
9/3/2018	1.0 9 / 3 / 2 0 1 8
9/5	1.0 9 / 5
90	1.0 9 0 #1
90*188+20CM	1.0 9 0 * 1 8 8 + 2 0 C M
90*60CM	1.0 9 0 * 6 0 C M
90.00	1.0 9 0 . 0 0
9001	1.0 9 0 0 1 #1
9001620	1.0 9 0 0 1 6 2 0
9002107	1.0 9 0 0 2 1 0 7
9002148	1.0 9 0 0 2 1 4 8
900G	1.0 9 0 0 G
9010	1.0 9 0 1 0
9011434	1.0 9 0 1 1 4 3 4
9020529	1.0 9 0 2 0 5 2 9
9021485	1.0 9 0 2 1 4 8 5
9021937	1.0 9 0 2 1 9 3 7
9032550	1.0 9 0 3 2 5 5 0
9034713	1.0 9 0 3 4 7 1 3
9034915	1.0 9 0 3 4 9 1 5
9044944	1.0 9 0 4 4 9 4 4
9045734	1.0 9 0 4 5 7 3 4
90554	1.0 9 0 5 5 4
9060293576	1.0 9 0 6 0 2 9 3 5 7 6
9061496	1.0 9 0 6 1 4 9 6
9063983	1.0 9 0 6 3 9 8 3
9064017	1.0 9 0 6 4 0 1 7
9064074	1.0 9 0 6 4 0 7 4
9064123	1.0 9 0 6 4 1 2 3
9064189	1.0 9 0 6 4 1 8 9
9064430	1.0 9 0 6 4 4 3 0
9066245	1.0 9 0 6 6 2 4 5
9066468	1.0 9 0 6 6 4 6 8
9067170	1.0 9 0 6 7 1 7 0
9067474	1.0 9 0 6 7 4 7 4
9067630	1.0 9 0 6 7 6 3 0
9067846	1.0 9 0 6 7 8 4 6
9067903	1.0 9 0 6 7 9 0 3
9068369	1.0 9 0 6 8 3 6 9
9068722	1.0 9 0 6 8 7 2 2
9068739	1.0 9 0 6 8 7 3 9
9068764	1.0 9 0 6 8 7 6 4
9069295	1.0 9 0 6 9 2 9 5
9070058756	1.0 9 0 7 0 0 5 8 7 5 6
9071246	1.0 9 0 7 1 2 4 6
9071503	1.0 9 0 7 1 5 0 3
9071604	1.0 9 0 7 1 6 0 4
9071872	1.0 9 0 7 1 8 7 2
9072218	1.0 9 0 7 2 2 1 8
9072317	1.0 9 0 7 2 3 1 7
9072318	1.0 9 0 7 2 3 1 8
9072363	1.0 9 0 7 2 3 6 3
9073805	1.0 9 0 7 3 8 0 5
9074333	1.0 9 0 7 4 3 3 3
9080456	1.0 9 0 8 0 4 5 6
9082115	1.0 9 0 8 2 1 1 5
9086391	1.0 9 0 8 6 3 9 1
9086926	1.0 9 0 8 6 9 2 6
9087396	1.0 9 0 8 7 3 9 6
9087397	1.0 9 0 8 7 3 9 7
9088524	1.0 9 0 8 8 5 2 4
9090822	1.0 9 0 9 0 8 2 2
90MG	1.0 9 0 M G
90ML	1.0 9 0 M L
91.1.15_C	1.0 9 1 . 1 . 1 5 _ C
91.50	1.0 9 1 . 5 0
9100-0007	1.0 9 1 0 0 - 0 0 0 7
9101A-TRA	1.0 9 1 0 1 A - T R A
910347623	1.0 9 1 0 3 4 7 6 2 3
910845	1.0 9 1 0 8 4 5
9161	1.0 9 1 6 1
91694-X	1.0 9 1 6 9 4 - X
9170	1.0 9 1 7 0
9178	1.0 9 1 7 8
91X46CM	1.0 9 1 X 4 6 C M
92.50	1.0 9 2 . 5 0
92.80	1.0 9 2 . 8 0
9200310000040	1.0 9 2 0 0 3 1 0 0 0 0 0 4 0
922	1.0 9 2 2
9273	1.0 9 2 7 3
93	1.0 9 3 #1
93.00	1.0 9 3 . 0 0
93.07	1.0 9 3 . 0 7
93.40	1.0 9 3 . 4 0
93.60	1.0 9 3 . 6 0
93.90SR	1.0 9 3 . 9 0 S R
9314z	1.0 9 3 1 4 z
933109-X)	1.0 9 3 3 1 0 9 - X )
93350	1.0 9 3 3 5 0
94.00	1.0 9 4 . 0 0
94.16	1.0 9 4 . 1 6
94.19	1.0 9 4 . 1 9
94.34	1.0 9 4 . 3 4
94.51	1.0 9 4 . 5 1
94.80	1.0 9 4 . 8 0
94.87	1.0 9 4 . 8 7
94.92	1.0 9 4 . 9 2
9413	1.0 9 4 1 3
946207-D	1.0 9 4 6 2 0 7 - D
9481	1.0 9 4 8 1
95	1.0 9 5 #1
95,	1.0 9 5 ,
95.00	1.0 9 5 . 0 0
95.17	1.0 9 5 . 1 7
9500	1.0 9 5 0 0
9514	1.0 9 5 1 4
95448	1.0 9 5 4 4 8
9553114461423	1.0 9 5 5 3 1 1 4 4 6 1 4 2 3
9553114461966	1.0 9 5 5 3 1 1 4 4 6 1 9 6 6
9554100157801	1.0 9 5 5 4 1 0 0 1 5 7 8 0 1
9554100363103	1.0 9 5 5 4 1 0 0 3 6 3 1 0 3
9555019100268	1.0 9 5 5 5 0 1 9 1 0 0 2 6 8
9555023304655	1.0 9 5 5 5 0 2 3 3 0 4 6 5 5
9555023304662	1.0 9 5 5 5 0 2 3 3 0 4 6 6 2
9555037203555	1.0 9 5 5 5 0 3 7 2 0 3 5 5 5
9555039900843	1.0 9 5 5 5 0 3 9 9 0 0 8 4 3
9555047301890	1.0 9 5 5 5 0 4 7 3 0 1 8 9 0
9555047302026	1.0 9 5 5 5 0 4 7 3 0 2 0 2 6
9555047307540	1.0 9 5 5 5 0 4 7 3 0 7 5 4 0
9555052401196	1.0 9 5 5 5 0 5 2 4 0 1 1 9 6
9555058800696	1.0 9 5 5 5 0 5 8 8 0 0 6 9 6
9555060603152	1.0 9 5 5 5 0 6 0 6 0 3 1 5 2
9555067700208	1.0 9 5 5 5 0 6 7 7 0 0 2 0 8
9555075106825	1.0 9 5 5 5 0 7 5 1 0 6 8 2 5
9555075109147	1.0 9 5 5 5 0 7 5 1 0 9 1 4 7
9555112901406	1.0 9 5 5 5 1 1 2 9 0 1 4 0 6
9555112911610	1.0 9 5 5 5 1 1 2 9 1 1 6 1 0
9555124301089	1.0 9 5 5 5 1 2 4 3 0 1 0 8 9
9555221300282	1.0 9 5 5 5 2 2 1 3 0 0 2 8 2
9555221301081	1.0 9 5 5 5 2 2 1 3 0 1 0 8 1
9555221303467	1.0 9 5 5 5 2 2 1 3 0 3 4 6 7
9555223500307	1.0 9 5 5 5 2 2 3 5 0 0 3 0 7
9555255201883	1.0 9 5 5 5 2 5 5 2 0 1 8 8 3
9555258606166	1.0 9 5 5 5 2 5 8 6 0 6 1 6 6
9555339300051	1.0 9 5 5 5 3 3 9 3 0 0 0 5 1
9555495400985	1.0 9 5 5 5 4 9 5 4 0 0 9 8 5
9555495401722	1.0 9 5 5 5 4 9 5 4 0 1 7 2 2
9555495401814	1.0 9 5 5 5 4 9 5 4 0 1 8 1 4
9555535000663	1.0 9 5 5 5 5 3 5 0 0 0 6 6 3
9555544201075	1.0 9 5 5 5 5 4 4 2 0 1 0 7 5
9555544201198	1.0 9 5 5 5 5 4 4 2 0 1 1 9 8
9555559040027	1.0 9 5 5 5 5 5 9 0 4 0 0 2 7
9555586101265	1.0 9 5 5 5 5 8 6 1 0 1 2 6 5
9555589200385	1.0 9 5 5 5 5 8 9 2 0 0 3 8 5
9555590501204	1.0 9 5 5 5 5 9 0 5 0 1 2 0 4
9555651400385	1.0 9 5 5 5 6 5 1 4 0 0 3 8 5
9555684639363	1.0 9 5 5 5 6 8 4 6 3 9 3 6 3
9555752615725	1.0 9 5 5 5 7 5 2 6 1 5 7 2 5
9555783202031	1.0 9 5 5 5 7 8 3 2 0 2 0 3 1
9555794100234	1.0 9 5 5 5 7 9 4 1 0 0 2 3 4
9555825905982	1.0 9 5 5 5 8 2 5 9 0 5 9 8 2
9555916500126	1.0 9 5 5 5 9 1 6 5 0 0 1 2 6
9555916500133	1.0 9 5 5 5 9 1 6 5 0 0 1 3 3
9556065000345	1.0 9 5 5 6 0 6 5 0 0 0 3 4 5
9556065000352	1.0 9 5 5 6 0 6 5 0 0 0 3 5 2
9556127101331	1.0 9 5 5 6 1 2 7 1 0 1 3 3 1
9556145026	1.0 9 5 5 6 1 4 5 0 2 6
9556173380636	1.0 9 5 5 6 1 7 3 3 8 0 6 3 6
9556231110045	1.0 9 5 5 6 2 3 1 1 1 0 0 4 5
9556268000210	1.0 9 5 5 6 2 6 8 0 0 0 2 1 0
9556296307411	1.0 9 5 5 6 2 9 6 3 0 7 4 1 1
9556405112205	1.0 9 5 5 6 4 0 5 1 1 2 2 0 5
9556481779603	1.0 9 5 5 6 4 8 1 7 7 9 6 0 3
9556570105139	1.0 9 5 5 6 5 7 0 1 0 5 1 3 9
955657031213	1.0 9 5 5 6 5 7 0 3 1 2 1 3
9556606389892	1.0 9 5 5 6 6 0 6 3 8 9 8 9 2
9556624004265	1.0 9 5 5 6 6 2 4 0 0 4 2 6 5
9556641320027	1.0 9 5 5 6 6 4 1 3 2 0 0 2 7
9556655112694	1.0 9 5 5 6 6 5 5 1 1 2 6 9 4
9556655864036	1.0 9 5 5 6 6 5 5 8 6 4 0 3 6
9556939040116	1.0 9 5 5 6 9 3 9 0 4 0 1 1 6
9557002081113	1.0 9 5 5 7 0 0 2 0 8 1 1 1 3
9557031100236	1.0 9 5 5 7 0 3 1 1 0 0 2 3 6
9557037001049	1.0 9 5 5 7 0 3 7 0 0 1 0 4 9
9557068000035	1.0 9 5 5 7 0 6 8 0 0 0 0 3 5
9557366100208	1.0 9 5 5 7 3 6 6 1 0 0 2 0 8
9557368063013	1.0 9 5 5 7 3 6 8 0 6 3 0 1 3
9557369305006	1.0 9 5 5 7 3 6 9 3 0 5 0 0 6
9557546631393	1.0 9 5 5 7 5 4 6 6 3 1 3 9 3
9557583450025	1.0 9 5 5 7 5 8 3 4 5 0 0 2 5
9557950917038	1.0 9 5 5 7 9 5 0 9 1 7 0 3 8
9577	1.0 9 5 7 7
95837	1.0 9 5 8 3 7
95897	1.0 9 5 8 9 7
9593	1.0 9 5 9 3
96.00	1.0 9 6 . 0 0
96.23	1.0 9 6 . 2 3
967	1.0 9 6 7 #1
96728	1.0 9 6 7 2 8
969	1.0 9 6 9
97	1.0 9 7 #1
97.60	1.0 9 7 . 6 0
9712	1.0 9 7 1 2
9722	1.0 9 7 2 2
9744	1.0 9 7 4 4
9750009	1.0 9 7 5 0 0 0 9
98.11	1.0 9 8 . 1 1
98.37	1.0 9 8 . 3 7
98.60	1.0 9 8 . 6 0
9829	1.0 9 8 2 9
9872	1.0 9 8 7 2
989625-A	1.0 9 8 9 6 2 5 - A
99	1.0 9 9 #1
99.00	1.0 9 9 . 0 0
99.05	1.0 9 9 . 0 5
99.80	1.0 9 9 . 8 0
99.90	1.0 9 9 . 9 0
9926016**	1.0 9 9 2 6 0 1 6 * *
99292	1.0 9 9 2 9 2
999	1.0 9 9 9 #1
99999	1.0 9 9 9 9 9
9:01:22	1.0 9 : 0 1 : 2 2
9:27PM	1.0 9 : 2 7 P M
9:34:40	1.0 9 : 3 4 : 4 0
9:49	1.0 9 : 4 9
9:52:15	1.0 9 : 5 2 : 1 5
9NUGGETS	1.0 9 N U G G E T S
9OZ	1.0 9 O Z
9PJZ5I8N	1.0 9 P J Z 5 I 8 N
9RH/TER/SHFT:	1.0 9 R H / T E R / S H F T :
9V	1.0 9 V
:	1.0 : #1
:(124525-H)	1.0 : ( 1 2 4 5 2 5 - H )
:0	1.0 : 0 #1
:0.00	1.0 : 0 . 0 0
:000306020352)	1.0 : 0 0 0 3 0 6 0 2 0 3 5 2 )
:000473792512)	1.0 : 0 0 0 4 7 3 7 9 2 5 1 2 )
:001092886528)	1.0 : 0 0 1 0 9 2 8 8 6 5 2 8 )
:001948532736	1.0 : 0 0 1 9 4 8 5 3 2 7 3 6
:002	1.0 : 0 0 2 #1
:002]	1.0 : 0 0 2 ]
:003-1227834	1.0 : 0 0 3 - 1 2 2 7 8 3 4
:01	1.0 : 0 1
:02	1.0 : 0 2
:03-40210276	1.0 : 0 3 - 4 0 2 1 0 2 7 6
:08/05/18	1.0 : 0 8 / 0 5 / 1 8
:1	1.0 : 1 #1
:1036	1.0 : 1 0 3 6
:11/04/18	1.0 : 1 1 / 0 4 / 1 8
:13834	1.0 : 1 3 8 3 4
:17/04/18	1.0 : 1 7 / 0 4 / 1 8
:19/03/2018	1.0 : 1 9 / 0 3 / 2 0 1 8
:2	1.0 : 2 #1
:2.10	1.0 : 2 . 1 0
:201806171	1.0 : 2 0 1 8 0 6 1 7 1
:256628-W	1.0 : 2 5 6 6 2 8 - W
:5224	1.0 : 5 2 2 4
:581355	1.0 : 5 8 1 3 5 5
:603-2030	1.0 : 6 0 3 - 2 0 3 0
:603-2142	1.0 : 6 0 3 - 2 1 4 2
:6224	1.0 : 6 2 2 4
:704427-T)	1.0 : 7 0 4 4 2 7 - T )
:750441-W)	1.0 : 7 5 0 4 4 1 - W )
:75495-W	1.0 : 7 5 4 9 5 - W
:8	1.0 : 8 #1
:860671-D)	1.0 : 8 6 0 6 7 1 - D )
:9820	1.0 : 9 8 2 0
:CASHIER	1.0 : C A S H I E R
:CS00232967	1.0 : C S 0 0 2 3 2 9 6 7
:CS00233521	1.0 : C S 0 0 2 3 3 5 2 1
:GKJ30785499	1.0 : G K J 3 0 7 8 5 4 9 9
:HERB,J	1.0 : H E R B , J
:JIMART	1.0 : J I M A R T
:KJ130659712	1.0 : K J 1 3 0 6 5 9 7 1 2
:KSB80051978	1.0 : K S B 8 0 0 5 1 9 7 8
:MILK	1.0 : M I L K
:PEARL	1.0 : P E A R L
:POS7	1.0 : P O S 7
:RM	1.0 : R M
:SA03711551-P	1.0 : S A 0 3 7 1 1 5 5 1 - P
:SV2]	1.0 : S V 2 ]
:TAKE	1.0 : T A K E
:VPM185710<LEE	1.0 : V P M 1 8 5 7 1 0 < L E E
:WEB_30263	1.0 : W E B _ 3 0 2 6 3
:WEB_30503	1.0 : W E B _ 3 0 5 0 3
;201601897	1.0 ; 2 0 1 6 0 1 8 9 7
;201710016	1.0 ; 2 0 1 7 1 0 0 1 6
<484297-M>	1.0 < 4 8 4 2 9 7 - M >
<GST>	1.0 < G S T >
<I>	1.0 < I >
<PLEASE	1.0 < P L E A S E
<THANK	1.0 < T H A N K
<space>	1.0 <space>
<unk>	1.0 <unk>
=	1.0 = #1
=====	1.0 = = = = =
==VISIT	1.0 = = V I S I T
>	1.0 >
??	1.0 ? ? #1
???	1.0 ? ? ?
@	1.0 @ #1
@0%	1.0 @ 0 % #1
@0%:	1.0 @ 0 % :
@0%;0.00	1.0 @ 0 % ; 0 . 0 0
@0.0%	1.0 @ 0 . 0 %
@0.00%	1.0 @ 0 . 0 0 % #1
@0.00%:	1.0 @ 0 . 0 0 % :
@0.50	1.0 @ 0 . 5 0
@0.98	1.0 @ 0 . 9 8
@1.50	1.0 @ 1 . 5 0
@1.75	1.0 @ 1 . 7 5
@10	1.0 @ 1 0 #1
@10.00%	1.0 @ 1 0 . 0 0 %
@10.99	1.0 @ 1 0 . 9 9
@11.90	1.0 @ 1 1 . 9 0
@12.89	1.0 @ 1 2 . 8 9
@12.99	1.0 @ 1 2 . 9 9
@13.75	1.0 @ 1 3 . 7 5
@13.90	1.0 @ 1 3 . 9 0
@14.00	1.0 @ 1 4 . 0 0
@141.55	1.0 @ 1 4 1 . 5 5
@149.00	1.0 @ 1 4 9 . 0 0
@15.90	1.0 @ 1 5 . 9 0
@16.00	1.0 @ 1 6 . 0 0
@17.20	1.0 @ 1 7 . 2 0
@17.83	1.0 @ 1 7 . 8 3
@19.50	1.0 @ 1 9 . 5 0
@2	1.0 @ 2 #1
@2.25	1.0 @ 2 . 2 5
@2.30	1.0 @ 2 . 3 0
@24.00	1.0 @ 2 4 . 0 0
@246.05	1.0 @ 2 4 6 . 0 5
@3	1.0 @ 3 #1
@3.15	1.0 @ 3 . 1 5
@4.00	1.0 @ 4 . 0 0
@4.61	1.0 @ 4 . 6 1
@5	1.0 @ 5 #1
@53.50	1.0 @ 5 3 . 5 0
@6	1.0 @ 6 #1
@6%	1.0 @ 6 % #1
@6%)	1.0 @ 6 % )
@6%:	1.0 @ 6 % : #1
@6%:$0.39	1.0 @ 6 % : $ 0 . 3 9
@6%;96.58	1.0 @ 6 % ; 9 6 . 5 8
@6.0%	1.0 @ 6 . 0 %
@6.00%	1.0 @ 6 . 0 0 % #1
@6.00%:	1.0 @ 6 . 0 0 % :
@6.20	1.0 @ 6 . 2 0
@63.00	1.0 @ 6 3 . 0 0
@7.00	1.0 @ 7 . 0 0
@7.20	1.0 @ 7 . 2 0
@7.60	1.0 @ 7 . 6 0
@8	1.0 @ 8 #1
@8.00	1.0 @ 8 . 0 0
@8.01	1.0 @ 8 . 0 1
@8.50	1.0 @ 8 . 5 0
@89.21	1.0 @ 8 9 . 2 1
@9.00	1.0 @ 9 . 0 0
